L2,600.0,30.0,0.498,0.6,1.1
L5,600.0,30.0,2.515,0.6,0.2
L3,60.0,30.0,2.508,0.6,0.2
L0,60.0,30.0,0.513,0.6,1.1
L1,600.0,30.0,2.513,0.6,0.2
L4,60.0,30.0,0.508,0.6,1.1
L6,600.0,30.0,0.506,0.6,1.1
L3,600.0,110.0,0.512,43.4,84.7
L5,60.0,110.0,0.498,0.6,1.1
L0,600.0,110.0,2.509,60.2,24.0
L4,600.0,110.0,2.512,42.0,16.7
L6,60.0,110.0,2.499,84.6,33.8
L1,60.0,110.0,0.508,8.5,16.9
L2,60.0,110.0,2.489,54.4,21.8
L6,189.7,65.3,1.123,0.6,0.5
L0,189.7,65.3,1.106,24.9,22.5
L5,600.0,65.3,2.515,0.6,0.2
L3,189.7,65.3,2.508,53.1,21.2
L4,189.7,65.3,1.106,0.6,0.5
L2,600.0,65.3,1.106,5.6,5.1
L1,600.0,65.3,1.129,7.5,6.7
L3,600.0,110.0,1.106,91.3,82.6
L0,600.0,110.0,2.509,68.6,27.4
L1,189.7,110.0,2.513,52.9,21.1
L5,189.7,110.0,1.127,7.4,6.6
L6,600.0,110.0,2.499,75.0,30.0
L2,189.7,110.0,2.489,53.8,21.6
L4,600.0,110.0,2.512,47.6,18.9
L3,600.0,30.0,0.512,0.6,1.1
L4,600.0,30.0,0.508,0.6,1.1
L0,600.0,30.0,0.513,0.6,1.1
L1,60.0,110.0,2.513,41.9,16.6
L2,60.0,110.0,2.489,77.5,31.2
L5,60.0,110.0,2.515,8.5,3.4
L6,60.0,110.0,2.499,85.4,34.2
L3,60.0,67.5,2.508,33.4,13.4
L4,60.0,66.7,2.512,0.6,0.2
L2,60.0,67.0,2.489,24.4,9.8
L6,60.0,66.8,2.499,3.6,1.4
L0,60.0,66.3,2.509,12.4,4.9
L6,155.6,110.0,2.499,81.3,32.5
L4,109.3,110.0,2.482,39.1,15.8
L0,109.2,110.0,2.482,74.1,29.8
L2,166.5,110.0,2.489,60.9,24.5
L3,60.0,110.0,0.512,10.3,20.1
L6,60.0,110.0,0.506,0.6,1.1
L2,60.0,110.0,0.498,21.7,43.7
L0,60.0,110.0,0.513,20.5,40.0
L3,60.0,110.0,0.512,8.7,17.0
L2,600.0,110.0,0.968,23.7,24.5
L0,600.0,110.0,0.971,41.4,42.6
L4,600.0,110.0,0.957,38.8,40.6
L3,600.0,110.0,1.268,91.8,72.4
L6,600.0,110.0,0.814,38.0,46.6
L3,161.7,110.0,2.104,84.0,39.9
L0,146.1,110.0,2.509,69.6,27.7
L2,185.5,110.0,2.489,62.8,25.2
L6,176.5,110.0,2.499,68.6,27.5
L0,60.0,110.0,2.266,83.9,37.1
L3,60.0,110.0,1.915,65.7,34.4
L6,60.0,110.0,2.303,80.7,35.0
L2,60.0,110.0,2.323,64.4,27.7
L3,600.0,110.0,2.508,82.1,30.8
L3,600.0,110.0,2.508,80.0,31.9
L3,600.0,67.3,1.214,29.6,24.4
L3,600.0,68.7,1.268,20.4,16.1
L3,199.3,110.0,1.241,71.6,57.8
L0,202.8,110.0,1.592,70.9,44.6
L3,600.0,110.0,1.16,75.5,65.1
L3,600.0,110.0,1.16,82.7,71.4
L3,600.0,110.0,1.106,72.2,65.3
L3,600.0,110.0,1.106,92.8,83.9
L3,600.0,110.0,1.187,72.1,60.7
L3,600.0,110.0,1.106,80.7,73.0
L3,600.0,66.3,0.998,20.1,20.2
L3,600.0,67.6,0.998,17.9,18.0
L3,600.0,110.0,1.241,87.5,70.5
L3,600.0,110.0,1.268,80.2,63.2
L3,600.0,110.0,1.187,78.1,65.8
L3,189.1,110.0,2.508,98.7,39.4
L3,600.0,110.0,1.268,83.1,65.6
L3,199.8,110.0,2.508,83.9,33.5
L3,199.6,110.0,2.508,83.2,33.2
L3,600.0,110.0,1.241,76.9,62.0
L3,600.0,110.0,1.025,75.0,73.3
L3,600.0,110.0,1.079,87.6,81.2
L3,600.0,110.0,1.133,75.9,67.0
L3,600.0,110.0,1.052,68.7,65.4
L3,600.0,110.0,1.106,78.7,71.2
